"year","barkbeetle","wind","landscape_volume_yearstart","impact","relimpact","model","mgm","rcp","windcase"
76,0.690552593298142,0,393.261771899435,0.690552593298142,0.175596165872621,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
77,0.885095109391305,0.305214627514305,398.24842071752,1.19030973690561,0.298886241597905,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
78,0.695359379789922,0,405.310836314298,0.695359379789922,0.17156200068895,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
79,0.391136056967213,0,403.093173839384,0.391136056967213,0.0970336593005827,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
80,0.467995520355895,0,409.052740391654,0.467995520355895,0.114409579534366,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
81,0.691576921233023,0,420.407340925662,0.691576921233023,0.164501628280395,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
82,0.636786934383403,1.68886972238535,419.972711591675,2.32565665676876,0.553763754781742,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
83,0.660264457863234,0,430.097801974887,0.660264457863234,0.153514957489084,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
84,0.998288113249013,0,432.169156660374,0.998288113249013,0.230994761626067,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
85,0.894706718573272,0,443.419594295414,0.894706718573272,0.201774285593975,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
86,0.938971563928698,0,451.071664868078,0.938971563928698,0.208164608212159,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
87,0.488752691104387,0.612554272550531,453.487875721413,1.10130696365492,0.242852570623404,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
88,0.333862425916189,0,452.32892790121,0.333862425916189,0.0738096560539026,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
89,0.500376973983547,0,458.336280411874,0.500376973983547,0.109172455982296,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
90,0.431682505701197,0,462.088201428315,0.431682505701197,0.0934199367927737,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
91,0.654028480473446,0.73412080572433,456.607809759947,1.38814928619778,0.304013478641018,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
92,0.506802842557633,0,449.160816400718,0.506802842557633,0.112833271303321,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
93,0.76668070305601,0,450.399441354891,0.76668070305601,0.170222392094822,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
94,0.809714849394005,0,448.938308826825,0.809714849394005,0.18036216412673,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
95,0.715190085584413,0,456.248736064794,0.715190085584413,0.156754425612884,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
96,0.96817430449732,25.8428560576533,465.928662965969,26.8110303621507,5.75432088497825,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
97,2.91976406145919,0,442.198393953309,2.91976406145919,0.660283732683001,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
98,8.31411045271521,0,442.463965439541,8.31411045271521,1.87904803602617,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
