"year","barkbeetle","wind","landscape_volume_yearstart","impact","relimpact","model","mgm","rcp","windcase"
17,0.420840967905396,0,278.019069700779,0.420840967905396,0.151371259661552,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
18,0.296539293374479,0,279.439512835261,0.296539293374479,0.106119313752633,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
19,0.347180155320564,0,284.95322822946,0.347180155320564,0.121837593305311,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
20,0.600530554286716,12.0170347318364,291.607737562363,12.6175652861231,4.32689660144039,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
21,0.827327686079478,0,270.235668428069,0.827327686079478,0.306150439315414,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
22,0.422385039079783,0,281.847428478456,0.422385039079783,0.14986300969997,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
23,0.912148990004628,0,271.597452303369,0.912148990004628,0.335845930169395,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
24,2.42423984199855,0,262.773029328403,2.42423984199855,0.922560373944937,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
25,1.26887462386331,1.78085637401099,259.251260638148,3.0497309978743,1.17636110635195,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
26,0.843655042567043,0,252.959381569833,0.843655042567043,0.333514035862765,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
27,0.718989252971218,0,257.305081618176,0.718989252971218,0.279430646472094,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
28,1.24302265677882,0.0775989459121862,266.413627064185,1.320621602691,0.495703473295994,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
29,0.745833108779057,0,263.769033459063,0.745833108779057,0.282759920297775,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
30,0.52098706758057,0,266.470018387541,0.52098706758057,0.195514328678761,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
31,0.329609202516838,2.35258022582079,261.269228469363,2.68218942833763,1.02659981967687,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
