"","mgm","model","windcase","rcp","wind.damaged.vol","landscape_volume_yearstart","rt","impact","auc","norm.auc","one.minus.norm.auc"
"144","CONSERVATION","EC-EARTH_RACMO22E-r1","w9","rcp45",113.468972803728,306.441437304398,23,37.0279469388521,-555.276831363366,0.111055366272673,0.888944633727327
"145","CONSERVATION","EC-EARTH_RACMO22E-r1","w9","rcp85",127.81258857866,339.82765316701,25,37.6110029267823,-594.822882403817,0.118964576480763,0.881035423519236
"146","CONSERVATION","HadGEM2_CCLM","w5","rcp45",94.5808966030126,275.886101181255,49,34.2825884298077,-908.114065220936,0.181622813044187,0.818377186955813
"147","CONSERVATION","HadGEM2_CCLM","w5","rcp85",97.2722403201361,249.592673090632,31,38.9723941474895,-540.9132477726,0.10818264955452,0.89181735044548
"148","CONSERVATION","HadGEM2_CCLM","w6","rcp45",89.8774797852924,247.297188351638,32,36.3439149407123,-538.569179484451,0.10771383589689,0.89228616410311
"149","CONSERVATION","HadGEM2_CCLM","w6","rcp85",89.3349848660918,230.073612381671,17,38.8288704390373,-334.087829167213,0.0668175658334427,0.933182434166557
"150","CONSERVATION","HadGEM2_CCLM","w7","rcp45",94.0107943594102,269.277570993231,50,34.9122260768512,-877.846730291328,0.175569346058266,0.824430653941734
"151","CONSERVATION","HadGEM2_CCLM","w7","rcp85",94.6054515902615,242.041825554881,29,39.0864063983068,-481.797951533016,0.0963595903066033,0.903640409693397
"152","CONSERVATION","HadGEM2_CCLM","w8","rcp45",88.4500263604566,272.245631651968,46,32.4890525602735,-821.054657216587,0.164210931443317,0.835789068556683
"153","CONSERVATION","HadGEM2_CCLM","w8","rcp85",91.3419043076408,249.31285617092,30,36.6374625482691,-523.59265182683,0.104718530365366,0.895281469634634
"154","CONSERVATION","HadGEM2_CCLM","w9","rcp45",92.4350491919213,248.887628749046,47,37.1392703030345,-647.790639728232,0.129558127945646,0.870441872054354
"155","CONSERVATION","HadGEM2_CCLM","w9","rcp85",94.2623356148293,233.762745415275,17,40.3239341869356,-358.270085041474,0.0716540170082947,0.928345982991705
"156","CONSERVATION","MPI_CCLM","w5","rcp45",111.00342360372,305.28266537699,35,36.3608668925383,-628.577154506267,0.125715430901253,0.874284569098747
"157","CONSERVATION","MPI_CCLM","w5","rcp85",105.354592174224,302.376415517858,30,34.8421989174621,-624.04923276426,0.124809846552852,0.875190153447148
"158","CONSERVATION","MPI_CCLM","w6","rcp45",102.931360276825,283.83915290498,26,36.2639752914154,-529.908890543869,0.105981778108774,0.894018221891226
"159","CONSERVATION","MPI_CCLM","w6","rcp85",104.204392182038,278.443690061345,25,37.4238655431842,-566.399697128335,0.113279939425667,0.886720060574333
"160","CONSERVATION","MPI_CCLM","w7","rcp45",107.632816648492,295.625887096344,28,36.4084545185363,-584.437035146842,0.116887407029368,0.883112592970632
"161","CONSERVATION","MPI_CCLM","w7","rcp85",105.242515653719,295.749564149089,26,35.5850112430481,-616.737515840184,0.123347503168037,0.876652496831963
"162","CONSERVATION","MPI_CCLM","w8","rcp45",102.398112099375,298.697614666729,33,34.2815299056288,-578.835499104401,0.11576709982088,0.88423290017912
"163","CONSERVATION","MPI_CCLM","w8","rcp85",96.5858321119531,295.627494308772,26,32.6714645868062,-555.649891217744,0.111129978243549,0.888870021756451
"164","CONSERVATION","MPI_CCLM","w9","rcp45",103.705346487463,284.239498981957,26,36.4851988759122,-507.77897080264,0.101555794160528,0.898444205839472
"165","CONSERVATION","MPI_CCLM","w9","rcp85",104.291982507571,274.266034314953,25,38.0258469730187,-534.175654213345,0.106835130842669,0.893164869157331
"166","CONSERVATION","NCC_HIRHAM5","w5","rcp45",115.34957552084,349.039668871666,50,33.0476979575783,-1261.90558831346,0.252381117662693,0.747618882337307
"167","CONSERVATION","NCC_HIRHAM5","w5","rcp85",112.042517500555,328.368156204795,29,34.1210057624093,-675.056898402959,0.135011379680592,0.864988620319408
"168","CONSERVATION","NCC_HIRHAM5","w6","rcp45",107.475842314291,322.925828934949,50,33.2818971677675,-1048.40028188653,0.209680056377306,0.790319943622694
"169","CONSERVATION","NCC_HIRHAM5","w6","rcp85",103.272372289527,302.914907662896,24,34.0928655794174,-547.652099060422,0.109530419812084,0.890469580187916
"170","CONSERVATION","NCC_HIRHAM5","w7","rcp45",114.646292343998,340.305197823235,50,33.6892569015501,-1237.39085735142,0.247478171470285,0.752521828529715
"171","CONSERVATION","NCC_HIRHAM5","w7","rcp85",106.143090218629,317.577803222823,27,33.4227043393696,-602.058162696448,0.12041163253929,0.87958836746071
"172","CONSERVATION","NCC_HIRHAM5","w8","rcp45",109.39658599592,346.28612554311,50,31.5913858299533,-1227.66308462081,0.245532616924162,0.754467383075838
"173","CONSERVATION","NCC_HIRHAM5","w8","rcp85",102.491017997691,325.64161595802,28,31.4735626452929,-641.332262957937,0.128266452591587,0.871733547408413
