"year","total_carbon_kg","volume_m3","TC_49","VOL_49","Perc_Diff_TC","Perc_Diff_VOL","recovery_year_total_carbon","recovery_year_volume","year_after_impact","model","mgm","rcp","windcase"
61,161865.270290832,397.60807276081,168372.355362264,417.899770128385,-3.86469920043062,-4.85563736044684,51,51,12,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
62,163651.03730168,401.672009316105,168372.355362264,417.899770128385,-2.80409337413244,-3.88317055242565,51,51,13,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
63,166526.253843391,409.537795013161,168372.355362264,417.899770128385,-1.09643980147513,-2.00095231271741,51,51,14,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
64,168383.975660834,412.486708465824,168372.355362264,417.899770128385,0.00690154778993821,-1.29530142141448,51,51,15,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
65,168093.022492318,408.569001458649,168372.355362264,417.899770128385,-0.165901860400175,-2.23277669352867,51,51,16,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
66,169383.514845412,411.5897666479,168372.355362264,417.899770128385,0.600549586048608,-1.50993226881807,51,51,17,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
67,172166.885332516,418.38890570198,168372.355362264,417.899770128385,2.25365379137702,0.117046145644971,51,51,18,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
68,176363.113198124,429.994123904131,168372.355362264,417.899770128385,4.74588469031457,2.89408002594261,51,51,19,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
69,176641.917440714,429.694796999811,168372.355362264,417.899770128385,4.91147258744352,2.82245354377739,51,51,20,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
70,180462.905479095,440.570337638,168372.355362264,417.899770128385,7.18084040032414,5.42488154579508,51,51,21,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
71,183260.629747197,447.073673094608,168372.355362264,417.899770128385,8.84246962804577,6.98107657662985,51,51,22,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
