model,rcp,mgm,windcase,score,resilience,score_01,res_01,dist
NCC_HIRHAM5,rcp45,CONSERVATION,w5,2.78390047787152,0.747618882337307,0.69597511946788,0.747618882337307,0.395129543991891
NCC_HIRHAM5,rcp45,CONSERVATION,w6,2.71398317211077,0.790319943622694,0.678495793027692,0.790319943622694,0.383836789720947
NCC_HIRHAM5,rcp45,CONSERVATION,w7,2.71767948303127,0.752521828529715,0.679419870757818,0.752521828529715,0.4049902031151
NCC_HIRHAM5,rcp45,CONSERVATION,w8,2.80652319652227,0.754467383075838,0.701630799130567,0.754467383075838,0.386407098797487
NCC_HIRHAM5,rcp45,CONSERVATION,w9,2.72069814514202,0.787281420641172,0.680174536285505,0.787281420641172,0.384106132787059
NCC_HIRHAM5,rcp45,UNMANAGED,w5,2.96944750780613,0.7449471953806,0.742361876951533,0.7449471953806,0.362531840797687
NCC_HIRHAM5,rcp45,UNMANAGED,w6,2.86313476638339,0.801412196592847,0.715783691595848,0.801412196592847,0.34672182744235
NCC_HIRHAM5,rcp45,UNMANAGED,w7,2.85878855908056,0.758471188285416,0.71469713977014,0.758471188285416,0.373809963676195
NCC_HIRHAM5,rcp45,UNMANAGED,w8,2.99183340930223,0.782773115455203,0.747958352325558,0.782773115455203,0.332734896774424
NCC_HIRHAM5,rcp45,UNMANAGED,w9,2.79002475634078,0.802684136053488,0.697506189085195,0.802684136053488,0.361159321915855
NCC_HIRHAM5,rcp85,ADAPTATION,w5,2.62591365087449,0.918575259981947,0.656478412718623,0.918575259981947,0.353039755856652
NCC_HIRHAM5,rcp85,ADAPTATION,w6,2.60128881530091,0.92600049263831,0.650322203825228,0.92600049263831,0.357422002998442
NCC_HIRHAM5,rcp85,ADAPTATION,w7,2.60009429324047,0.92653348429898,0.650023573310118,0.92653348429898,0.357604289918154
NCC_HIRHAM5,rcp85,ADAPTATION,w8,2.63163073036012,0.922140910706943,0.65790768259003,0.922140910706943,0.350840692361174
NCC_HIRHAM5,rcp85,ADAPTATION,w9,2.60358395276608,0.929830591045413,0.65089598819152,0.929830591045413,0.35608616515362
NCC_HIRHAM5,rcp85,BAU,w5,2.62490530779668,0.877577149966857,0.65622632694917,0.877577149966857,0.364921488121892
NCC_HIRHAM5,rcp85,BAU,w6,2.5757315130407,0.893737069839241,0.643932878260175,0.893737069839241,0.371585260082304
NCC_HIRHAM5,rcp85,BAU,w7,2.59714840193962,0.885408719376894,0.649287100484905,0.885408719376894,0.368958940101915
NCC_HIRHAM5,rcp85,BAU,w8,2.63614104895483,0.879622061611863,0.659035262238707,0.879622061611863,0.361590653152436
NCC_HIRHAM5,rcp85,BAU,w9,2.56425871688557,0.88847044448463,0.641064679221393,0.88847044448463,0.375863547389073
NCC_HIRHAM5,rcp85,BIOECONOMY,w5,2.59680444121958,0.909995332275326,0.649201110304895,0.909995332275326,0.362161153664425
NCC_HIRHAM5,rcp85,BIOECONOMY,w6,2.58401283073777,0.911862854781989,0.646003207684443,0.911862854781989,0.364803899837823
NCC_HIRHAM5,rcp85,BIOECONOMY,w7,2.58674581074299,0.911136430208537,0.646686452685748,0.911136430208537,0.364317439538464
NCC_HIRHAM5,rcp85,BIOECONOMY,w8,2.60784546885282,0.906084232536425,0.651961367213205,0.906084232536425,0.360487255378569
NCC_HIRHAM5,rcp85,BIOECONOMY,w9,2.57118562545211,0.910685243406308,0.642796406363027,0.910685243406308,0.368200397952742
NCC_HIRHAM5,rcp85,CONSERVATION,w5,2.68319641869058,0.864988620319408,0.670799104672645,0.864988620319408,0.355810767301369
NCC_HIRHAM5,rcp85,CONSERVATION,w6,2.60697432082006,0.890469580187916,0.651743580205015,0.890469580187916,0.365074577028629
NCC_HIRHAM5,rcp85,CONSERVATION,w7,2.63110131062947,0.87958836746071,0.657775327657367,0.87958836746071,0.36279014265936
NCC_HIRHAM5,rcp85,CONSERVATION,w8,2.70642129738109,0.871733547408413,0.676605324345273,0.871733547408413,0.347902858715269
NCC_HIRHAM5,rcp85,CONSERVATION,w9,2.60483510586349,0.89309297948542,0.651208776465872,0.89309297948542,0.364807385684197
NCC_HIRHAM5,rcp85,UNMANAGED,w5,2.8129904709701,0.844809002581776,0.703247617742525,0.844809002581776,0.334882400336521
NCC_HIRHAM5,rcp85,UNMANAGED,w6,2.75093880372273,0.883341663248876,0.687734700930682,0.883341663248876,0.333344843272532
NCC_HIRHAM5,rcp85,UNMANAGED,w7,2.72570182298833,0.870066131934704,0.681425455747082,0.870066131934704,0.344053121358263
NCC_HIRHAM5,rcp85,UNMANAGED,w8,2.84678443887376,0.857854977664266,0.71169610971844,0.857854977664266,0.321441037402364
NCC_HIRHAM5,rcp85,UNMANAGED,w9,2.69470383012289,0.892074862989781,0.673675957530723,0.892074862989781,0.343708038736608
refclim,refclim,ADAPTATION,w5,2.73777995224865,0.928640072050979,0.684444988062162,0.928640072050979,0.323523113356648
refclim,refclim,ADAPTATION,w6,2.71301597347605,0.937019199758912,0.678253993369012,0.937019199758912,0.327852213629854
