"year","total_carbon_kg","volume_m3","TC_49","VOL_49","Perc_Diff_TC","Perc_Diff_VOL","recovery_year_total_carbon","recovery_year_volume","year_after_impact","model","mgm","rcp","windcase"
63,106562.582959252,253.728643765974,140020.295710298,350.32466427836,-23.8949022220821,-27.5732856866832,74,75,14,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
64,110598.181871528,263.738649561519,140020.295710298,350.32466427836,-21.012749394305,-24.7159345446603,74,75,15,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
65,112079.486263477,267.099379449778,140020.295710298,350.32466427836,-19.9548281947857,-23.7566158808769,74,75,16,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
66,113837.420938414,271.154503948431,140020.295710298,350.32466427836,-18.6993425767761,-22.5990826232611,74,75,17,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
67,117787.848918392,281.494014218558,140020.295710298,350.32466427836,-15.87801731108,-19.6476745939618,74,75,18,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
68,120627.706349365,287.412832346629,140020.295710298,350.32466427836,-13.8498417408407,-17.9581509230372,74,75,19,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
69,125594.57778984,301.671447786655,140020.295710298,350.32466427836,-10.3025906689308,-13.8880362854058,74,75,20,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
70,129315.383881156,309.186085794255,140020.295710298,350.32466427836,-7.64525726419761,-11.7429866289453,74,75,21,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
71,132686.435506961,317.978364670898,140020.295710298,350.32466427836,-5.23771226602077,-9.23323502616987,74,75,22,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
72,135769.172205156,325.360301255981,140020.295710298,350.32466427836,-3.03607665130017,-7.12606492431915,74,75,23,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
73,137427.509174014,328.729308141025,140020.295710298,350.32466427836,-1.8517219401167,-6.16438359594785,74,75,24,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
74,142381.30094698,343.490788813603,140020.295710298,350.32466427836,1.68618786634069,-1.95072632948463,74,75,25,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
75,146723.284568051,353.222220909307,140020.295710298,350.32466427836,4.78715519328784,0.82710608940878,74,75,26,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
76,149999.095208955,361.200016594797,140020.295710298,350.32466427836,7.12668077726637,3.10436387310595,74,75,27,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
