"","rcp","model","mgm","windcase","name","value","minfornorm","max","value.normalized1"
"433","rcp45","EC-EARTH_RACMO22E-r1","BAU","w8","standing.volume.decidious",63.2767772334443,0,128.822861263404,0.4911921425504
"434","rcp45","EC-EARTH_RACMO22E-r1","BAU","w8","BA.decidious",6.55482812370822,0,12.4483497074567,0.526562016472096
"435","rcp45","EC-EARTH_RACMO22E-r1","BAU","w8","deadwood.c.ag",15186.4385626799,0,37854.244296677,0.401181924110237
"436","rcp45","EC-EARTH_RACMO22E-r1","BAU","w8","carbonstock",286543.377238034,0,387627.943172939,0.739222706424429
"437","rcp45","EC-EARTH_RACMO22E-r1","BAU","w8","shannon_BA_landscape",1.74271891470981,0,2.12717269598936,0.819265364770612
"438","rcp45","EC-EARTH_RACMO22E-r1","BAU","w8","shannon_VOL_landscape",1.65163564599479,0,2.0661929449391,0.799361768241577
"439","rcp45","EC-EARTH_RACMO22E-r1","BAU","w8","annual.harvest",7.75470452343786,0,9.16575488718929,0.846051920314429
"440","rcp45","EC-EARTH_RACMO22E-r1","BAU","w8","standing.volume",285.707826409424,0,483.94324804852,0.590374651493803
"441","rcp45","EC-EARTH_RACMO22E-r1","BAU","w8","LAI",3.35470624488274,0,4.68851564070693,0.715515634789888
"442","rcp45","EC-EARTH_RACMO22E-r1","BAU","w8","annual.increment",13.5983398083351,0,14.5910502388423,0.931964429272911
"443","rcp45","EC-EARTH_RACMO22E-r1","BAU","w9","nat.mortality.volperha",2.99626443948988,0,5.61844159386771,0.533291018413393
"444","rcp45","EC-EARTH_RACMO22E-r1","BAU","w9","impact",2.26693716082334,0,4.92439027259723,0.460348801645185
"445","rcp45","EC-EARTH_RACMO22E-r1","BAU","w9","NEP",96.3931693184661,-388.953367502547,1217.44739498192,0.302132909891287
"446","rcp45","EC-EARTH_RACMO22E-r1","BAU","w9","standing.volume.decidious",63.7311006653968,0,128.822861263404,0.494718872414159
"447","rcp45","EC-EARTH_RACMO22E-r1","BAU","w9","BA.decidious",6.61383825236543,0,12.4483497074567,0.531302414199023
"448","rcp45","EC-EARTH_RACMO22E-r1","BAU","w9","deadwood.c.ag",15480.0483889391,0,37854.244296677,0.408938249238752
"449","rcp45","EC-EARTH_RACMO22E-r1","BAU","w9","carbonstock",285360.571847775,0,387627.943172939,0.736171312913998
"450","rcp45","EC-EARTH_RACMO22E-r1","BAU","w9","shannon_BA_landscape",1.73693724179459,0,2.12717269598936,0.816547356530793
"451","rcp45","EC-EARTH_RACMO22E-r1","BAU","w9","shannon_VOL_landscape",1.6487082566323,0,2.0661929449391,0.797944964757829
